word	definition
sound	v. 听起来；发出声音；n. 声音
south	adj. 南（方）的；adv. 在南方；向南方；n. 南；南方；南部
southern	adj. 南部的；南方的
space	n. 空间
spare	n. 剩余；备用零件；v. 节约；吝惜；饶恕；adj. 多余的；瘦的；少量的
speaker	n. 演讲者；扬声器；说话者
special	adj. 特别的；专门的
speech	n. 演讲
speed	n. 速度；v.（使）加速
spell	v. 拼写
spend	n. 预算；v. 度过；消磨（时光）；花费
spirit	n. 精神
spoon	n. 匙； 调羹
spread	n. 传播；伸展；adj. 伸展的；v. 传播；散布；展开
square	n. 广场；adj. 平方的；方形的；宽而结实的（体格；肩膀）
stamp	n. 邮票
standard	n. 标准；水准；旗；adj. 标准的；合规格的；公认为优秀的
start	v. 开始；着手；出发
state	n. 状态；情形；国家；（美国的）州
station	n. 站；所；车站；电台
steal	v. 偷； 窃取
steel	n. 钢铁；钢制品；坚固；adj. 钢制的；钢铁业的；坚强的；v. 钢化；使冷酷
stick	v. 粘住；钉住；坚持；n. 木棒（棍）；枝条
stomach	n. 胃；胃部
stone	n. 石头；石料
storm	n. 风暴；暴（风）雨
story	n. 故事；小说
strange	adj. 奇怪；奇特的；陌生的
stranger	n. 陌生人；外地人；局外人
strawberry	n. 草莓；草莓色
stream	n. 溪流；流动；潮流；v. 流出；涌出；使飘动
strict	adj. 严格的；严密的
strong	adj. 强（壮）的；坚固的；强烈的；坚强的
stupid	adj. 愚蠢的；笨的
succeed	v. 成功
success	n. 成功
successful	adj. 成功的；有成就的
sudden	adj. 突然的
sugar	n. 糖
suggest	v. 建议；提议
suggestion	n. 建议
sunny	adj. 晴朗的；阳光充足的
supermarket	n. 超级市场
supper	n. 晚餐；晚饭
supply	n. 补给, 供给, 供应品；vt. 补给, 供给, 提供, 补充
support	n. 支持；维持；支援；v. 支持；支撑；支援
suppose	v. 猜想；假定；料想
surface	n. 表面；表层；外观；adj. 表面的；肤浅的；v. 使浮出水面；使成平面；浮出水面
surprise	v. 使惊奇；使诧异；n. 惊奇；诧异
sweater	n. 厚运动衫；毛衣
sweep	v. 扫除；扫
sweet	n. 甜食；蜜饯；甜点；糖果；芳香；adj. 甜的；可爱的；亲切的
swimming	n. 游泳
swing	v. 挥舞；摆动；n. 秋千
symbol	n. 象征；符号；标志
taste	n. 品尝； 尝味；味道；v. 品尝； 尝味
teach	v. 教书；教
technology	n. 技术；科技
telephone	v. 打电话；n. 电话
television	n. 电视
temperature	n. 温度
terrible	adj. 可怕的；糟糕的
thank	v. 感谢；致谢；道谢；n.（复）感谢；谢意
therefore	adv. 因此, 所以
thick	adj. 厚的
thirteen	num. 十三
thirty	num. 三十
though	conj. 虽然；可是
thought	n. 思想；想法；思考
thousand	num. 千
thread	n. 线, 丝, 纤维, 线索；vt. 穿线于, 穿过, 通过, 用线穿成
throw	v. 投；掷；扔
ticket	n. 票；卷
together	adv. 一起；共同
toilet	n. 厕所
tomato	n. 西红柿；番茄
tongue	n. 舌, 语言能力, 讲话方式, 语言；vt. 舔, 斥责, 发...的音
tonight	adv./n. 今晚；今夜
tooth	n. 牙齿
total	adj. 总数的；完全的；n./v. 合计；总计
touch	v. 触摸；接触
tourist	n. 游客；观光者
toward	prep. 向；朝；对于
towel	n. 毛巾
tower	n. 塔
trade	n. 商业；贸易；v. 交易
tradition	n. 传统；风俗
traditional	adj. 传统的；风俗的；惯例的
traffic	n. 交通；来往车辆
training	n. 培训
translate	v. 翻译
travel	n./v. 旅行
treasure	n. 财富；财产；财宝；v. 珍爱；珍藏
